Model,Simulation_Conditions,TCR
ACCESS-CM2,r1i1p1f1,2.10
ACCESS-ESM1-5,r1i1p1f1,1.95
AWI-CM-1-1-MR,r1i1p1f1,2.06
BCC-CSM2-MR,r1i1p1f1,1.72
BCC-ESM1,r1i1p1f1,1.77
CAMS-CSM1-0,r1i1p1f1,1.73
CAS-ESM2-0,r1i1p1f1,2.04
CESM2,r1i1p1f1,2.06
CESM2-WACCM,r1i1p1f1,1.98
CESM2-WACCM-FV2,r1i1p1f1,2.01
CIESM,r1i1p1f1,2.39
CMCC-CM2-SR5,r1i1p1f1,2.09
CNRM-CM6-1,r1i1p1f2,2.14
CNRM-CM6-1-HR,r1i1p1f2,2.48
CNRM-ESM2-1,r1i1p1f2,1.86
CanESM5,r1i1p1f1,2.74
E3SM-1-0,r1i1p1f1,2.99
EC-Earth3,r3i1p1f1,2.30
EC-Earth3-Veg,r1i1p1f1,2.62
FGOALS-f3-L,r1i1p1f1,1.94
FGOALS-g3,r1i1p1f1,1.54
FIO-ESM-2-0,r1i1p1f1,2.22
GFDL-CM4,r1i1p1f1,2.12
GFDL-ESM4,r1i1p1f1,1.51
GISS-E2-1-G,r1i1p1f1,1.80
GISS-E2-1-H,r1i1p1f1,1.93
GISS-E2-2-G,r1i1p1f1,1.71
HadGEM3-GC31-LL,r1i1p1f3,2.55
IITM-ESM,r1i1p1f1,1.71
INM-CM4-8,r1i1p1f1,1.33
INM-CM5-0,r1i1p1f1,1.40
IPSL-CM6A-LR,r1i1p1f1,2.32
MCM-UA-1-0,r1i1p1f1,1.94
MIROC-ES2L,r1i1p1f2,1.55
MIROC6,r1i1p1f1,1.55
MPI-ESM-1-2-HAM,r1i1p1f1,1.80
MPI-ESM1-2-HR,r1i1p1f1,1.66
MPI-ESM1-2-LR,r1i1p1f1,1.84
MRI-ESM2-0,r1i1p1f1,1.64
NESM3,r1i1p1f1,2.72
NorCPM1,r1i1p1f1,1.56
NorESM2-LM,r1i1p1f1,1.48
NorESM2-MM,r1i1p1f1,1.33
SAM0-UNICON,r1i1p1f1,2.27
TaiESM1,r1i1p1f1,2.34
UKESM1-0-LL,r1i1p1f2,2.79